Kara Gözünün Hasretinden,Renklensin,Lan,İmdadım,Cehennemin Dibi,Gülü Sevdim Dikeni Battı,Söyleme,Yoksun,Bir İmkansız Var,Daha Nasıl Sevebilirim,Bir Gün Ol Yerimde,Yansıma,Yüreğim Ağlar,Kapalı Kapılar,Bir Şehri Sevmek,İntihar Saatler,Acı Veriyor,Kafandan Bunu Çıkar,Sen Bir Aysın,Uzağım,Yakışıklı,Helal,Yangın,AĞLATIR,İmkansız Bir Aşk Denir,Kehribar,Sensin O,Ayrı Gitme,Ayyaş,Ateşe Düştüm,Gülüşüne Yanıyorum,Olmuşum Leyla,Saygı Duruşu,Anıları Yak,Numaracı,Başıma Belasın,Aşktan Giderken,Görmem Böylesini,Gitme,Bitter,Unutamıyorum,Sor,Manolya,Seviyo muyuz?,Tanrım Reva Mı,Nefes,Yaz Gülü,Harcandıkça,Geri Dönemedim,Sahi
Sevgi Olsun Taştan Olsun,Poşet,Bir Güzellik Yap,Leyla,Hoş Geldin Ayrılığa,Nasılsın Aşkta?,Sarıldım Boşluğa,Feryat,Bana Aşk Ver,Bombabomba.com,Gıybet,El Ele,Sepet,Beraber Olsak,"Evli, Mutlu, Çocuklu",Yatcaz Kalkcaz Ordayım,Ya Habibi,Yaparım Bilirsin,Benden Sorulur,Bodrum Akşamları,Zarar Ziyan,Naber?,Bir Hayli,Bu Nasıl Aşk,Zorun Ne Sevgilim,Yemin Ettim,Sıfır Tolerans,Meyhaneci,Bira 27 Lira,Adımı Kalbine Yaz,Bangır Bangır,Uzun Lafın Kısası,Yak,onca düşe daldım.,Zamanım Yok,Bi Dakika,Dantel,Öpücem,Günah Sevap,Salla,İnceden İnceden,Yalnız Çiçek,Giderli Şarkılar,Bodrum,Paşa Paşa,İlahi Adalet,Kırk Yılda Bir Gibisin,Öp,Bip Bip - Bayraşa Mix,Yakar Geçerim,Dudak,Yaz Günü,İltimas,İntikam,Hayırlı Günler,Miş Miş,İzmirli,Gölge,Kutsal Toprak,Evlenmene Bak,Budala,Mor,Sakin Ol - Radio Mix,Balım,Şarttır,Ders Olsun,Nefsi Müdafaa,Unuttun mu Beni?,Feveran,Vazgeçmem,Pabucumun Dünyası,Deli Et Beni,Cumartesi,Yalan,Kasaba,Geri Dönüş Olsa,İnanırım,Hasta,Fark Atiyor,Biri Var,Hangimiz Tertemiz,Vaziyetler,Naparsan Yap,İnsan Sevmez mi?,Benim Hikayem,Okyanus,Cevapsız Çınlama,Önsöz,Merhaba Merhaba,Arada Sırada,Taburcu,Kulüp,Gir Kanıma,Aslan Payı,Öptüm,Yerin de Dolmuyor ki,Kalbimin Fendi,Aleni Aleni,Catlat,Kal Aklımda
Poşet,Bombabomba.com,Sebastian,Tuttu Fırlattı,Bir Tanecik Aşkım,Aşka Gel,Yaz Günü,Hadi İnşallah,Dandini,Nerdesin Aşkım,Kalbimin Fendi,Naber?,Kırmızı,Çak Bir Selam - Gurcell Style Mix,Yatcaz Kalkcaz Ordayım,Prenses,Ya Habibi,Kudur Baby,Alt Dudak,Mor,Adeyyo,Aşkistan,Arıyorum,Senden Çok Var,Şans Meleğim,Salla,Kız Kıza,Karam,Aşk Kaç Beden Giyer,Soygun Var,Koş Koş Koş Koş,O La La,Alain Delon,Peri,Köle,Teni Tenime,bal gibi,ISABELLE,Bonita,EVA & MIA,Diğer Yarım,Kalbin Bana Kaldı - Sped Up,Doktor,Bim Bam Bom,Bi Dakika,Başrol,Hovarda,Hak Etmedin (Sanma Geri Dönerim),Resmen Aşığım,Mesajımı Almıştır O,Havaalanı,Yalan,Yakar Geçerim,İki Deli,Seviyorum Sevmiyorum,Superman,Yalakanım Bebeğim,Senden Başka,Kime Diyorum,Aşk Sakızı,Aklımı Kaçırdım,Ben Böyleyim,Tabi Tabi,Oyna Oyna,Ya Ben Anlatamadum,"Olacak, Olacak",Ara,Bul Beni,Yazsın Bana,Aşkımız Olay Olacak,Beni Sev,Benim Ol,Seviyorsun,Kaçın Kurası,Şanıma İnanma,Kötü Kötü Şeyler,Narin Yarim,Yüzyılın Aşkı,Sen misin ilacim - speed up,Kiralık Aşk (Sen misin İlacım?),İlahi Adalet,Irgalamaz Beni,Stir Me Up,Biz Burdayız,Deli Oglan - Radio Edit,Evlenmeliyiz,Sadece Arkadaşız,Süpriz,Kandıramazsın Beni (Selam Yalnızlık),Çakmak Çakmak,Aşkım Baksana Bana,"Evli, Mutlu, Çocuklu",Güle Güle Şekerim,Bu Kadar Mı,Katmer Katmer,Dünyanın En Güzel Kızı,Hanimiş,Bu Gece,Yine Ben Aşık Oldum,Yangın Var
Dik Yokuş,Nerdesin?,Saz mı Caz mı?,Günah Sevap,Manzara,Yaz Günü,Hoşuna Mı Gidiyor?,Sebastian,Olan Var Olmayan Var,Aşk Kaç Beden Giyer,Bi Dakika,İnceden İnceden,Deli Oglan - Radio Edit,Benimki,Şıkır Şıkır,Yeniden,Giderli Şarkılar,Aman Aman,Pırlanta,Manifesto,Ah Be Kardeşim,Bana Aşk Ver,Şans Meleğim,Öp,Çok Çok,Aya Benzer,Aşka Yürek Gerek,Pazara Kadar,Araba,Beni Sev,Olay,Güm Güm (feat. Onurr),Çak Bir Selam - Gurcell Style Mix,Yalan,Istanbul,Çakkıdı,Salla,Mor,Ya Ya Ya Ya,Bir Hayli,Dan Dan,Pırlanta,Nabza Göre Şerbet,Narin Yarim - Remix,Çalkala,Adeyyo,Aşkım Baksana Bana,Tik Tak,Havaalanı,Zorun Ne Sevgilim,İki Deli,Deli mi Ne?,Gölge,Deli,Git Çatla,Bi Seni Konuşurum,Mesajımı Almıştır O,Buzdan Şato,Tuttu Fırlattı,Naber?,Şımarık,Arada Bir,Kuzu Kuzu,Yakar Geçerim,Ara Beni,Soygun Var,Alt Dudak,Deli Bile,Hayırlı Günler,Köle,Bodrum,Yeni Bir Flow,Yeşilimi Ver,Prenses,Aşk Gitti Bizden,Hani Bana,İltimas,Bakıcaz Artık,Sayın Seyirciler,Kırmızı,Efkarım Var,Fan,Hoşuna Mı Gidiyor - speed up,Nasilsın Aşkta (speed up),Haberi Var Mı,Öpücem,Bangır Bangır,BAKSANA BİLADER - Saz Mi Caz Mi,Pisi pisi,Kuzum,Janti,Dengem Bozuluyo,O Bi Karamel,Gözleri Aşka Gülen,Feveran,Emrine Amade,Kelepçe,Farkımız Var,Dantel,Yağmurum Ol
Çelişki,İltimas,Dansöz,Çalkala,Yakar Geçerim,Poşet,Bangır Bangır,Sen Olsan Bari,Meyhaneci,İki Deli,Benim Ol,Keyfi Yolunda Aşkı Sonunda,Kumralım,Aşkın Ateşi,Pazara Kadar,Ay İnanmıyorum,Sevdik Sevdalandık,Çalkala,Kafa,Yalan,Aşk Kaç Beden Giyer,Dantel,Adeyyo,Derine,Feveran,Helal Ettim,Uzun Lafın Kısası,Yaş Hikayesi,İki Cihan,Sana N'olmuş,Ben Yanmışım,Vuracak,Canavar,Tüh tüh,Takvim,Net,Şehrin Yolu,Nabız 180,İncir,İçimdeki Duman,Bahsetmem Lazım,İki Aşık,Bileklerime Kadar Acıyo,Oyna Oyna,Kabuk,Yine Sev Yine,Aşinayız,Sen Maşallah,Ara Sıcak,Ille De Sen,Ara Ara,Kalpten Dudağa,Sana Güvenmiyorum,Tekamül,Cennet (Ufuk Akyıldız Remix),Seveni Arıyorum,Tanrım - Remix,İyisin Tabi,Güm Güm (feat. Onurr),Yapboz,Altın Sarısı - Hakan Kabil Remix,İki Çift Laf,Anlat Anlat,Deli Divanenim,Meşgul,Aşka,Giden Candan Gidiyor,Kutsal Toprak,Benimki,Benim Gibi Olmayacak,Ya Tutarsa,Önsöz,Çakmak Çakmak,Zalim (Ellerine Sağlık),Bilsem Ki,Günün Birinde,Gitme,Özledim,Uçurum,Bi Seni Konuşurum,Aslan Gibi,Nerdesin Aşkım,Sığamıyorum,Dudak,Leyla,Mesajımı Almıştır O,Budur,Lolİta,Katmer Katmer,Şans Meleğim,Unuttun mu Beni?,Aşkı Bulamam Ben,Soygun Var,Pas,İstiklal,Uçacaksın,Sadece Arkadaşız,Vur,Karam,Yürü Yüreğim
Aşkın Ateşi,Melek,Of Of - First Version,Bebek,Toz Pembe,Çakkıdı,Dansöz,Komple,Pazara Kadar,Şans Meleğim,Ne Kavgam Bitti Ne Sevdam,Senden Çok Var,Meyhaneci,Ben Güzelden Anlarım,Evlenmeliyiz,Asuman Pansuman,Rütbeni Bileceksin,Kalpsizsin,Salla,Aman Aman,Aşk Gitti Bizden,Miş Miş,İki Deli,Mesafe,Gıybet,Tuttu Fırlattı,Dudak,Okyanus,Sarışınım,Poşet,Aşk Kaç Beden Giyer,Havaalanı,Bodrum,Prenses,Nerdesin Aşkım,Tabi Tabi,Dan Dan,Çok Çok,Şımarık,Bandıra Bandıra,Olmaz Oğlan,Irgalamaz Beni,Mor,Cevapsız Çınlama,Yakar Geçerim,Sallayalım Dünyayı,Kendime Yeni Bir Ben Lazım,Alt Dudak,Seni Yerler,Rengarenk,Ya Ya Ya Ya,"Evli, Mutlu, Çocuklu",Yanayım Yanayım,Bekar Gezelim,Yalan,Karabiberim,Yatcaz Kalkcaz Ordayım,Yaparım Bilirsin,Adeyyo,Manifesto,Çalkala,Her gece,Bas Gaza,Yolla,Bangır Bangır,Keyfi Yolunda Aşkı Sonunda,Dağılmak İstiyorum,Türkan,İltimas,Hoşuna Mı Gidiyor?,Naber?,Dantel,Kulüp,Olan Var Olmayan Var,...dan sonra,Harika,Bir Tanecik Aşkım,Bir Güzellik Yap,Istanbul,Ölürüm Sana,Çak Bir Selam - Gurcell Style Mix,Aldatıldık,Geççek,Martılar,Yalan,Romeo,Uçacaksın,Kırmızı,Alain Delon,Şak Şuka,Hüp,Bombabomba.com,Pırlanta,Öp,Seviyorum Sevmiyorum,Adımı Kalbine Yaz,Doktor,Gir Kanıma,Kuzu Kuzu,Vaziyetler
DACIA X YATIYA - Remix,Kara Kedi,Yakışıklı,ARABA,Bir İmkansız Var,Yoksun,Lan,Kapalı Kapılar,Başıma Belasın,Yansıma,Sopa,"Bundan Böyle (From ""3391 Kilometre"")",POP,Risk Al,Yüreğim Ağlar,Kehribar,Batık Gemi,Yangın,Şalteri Kapattım,Veda Saati,Yaz Gülü,Benden Bir Tane Daha Yok,Aç Gözünü,Milyonda Bir,Mesafe,Basit Numaralar,Gülü Sevdim Dikeni Battı,DAMLALAR,Pişman Değilim,Gitme,Azap,Delil,Sen Dönene Kadar,Dik Yokuş,Fark Ettim,Alıştım Zehrine,Soğumuş Çay,Nefes,Aşkın Olayım,Ayrı Gitme,Müsaade Et,Vanilya,Sor,Diva Yorgun,Bir İmkansız Var,ELLERİM BOŞ,Söyleme,Kafandan Bunu Çıkar,Bir Gün Ol Yerimde,Şeytanla VALS,Dudaklarım Yeminli,Gel,Ayyaş,Nazar,Bitter,Olmuşum Leyla,Muamma,Kapkara Baht,Papatya,Aşk Olsun,Hele Bi (Club Version),Sen ve Ben,Yapma,Hop Hop,Haram,Bal,Ateşe Düştüm,Nereye,Görmem Böylesini,Haydi Gel Benimle Ol,kördüğüm,Ara,TUZAK,Harcandıkça,Back To Black,Cehennemin Dibi,DARMADAĞIN,Nerden Bileyim,Sevmiyo,Caka Satalım,Güzelim,Saygımdan,Yoksa Yasak,Risk Al,Kalbim Ağlama,Diken Mi Gül Mü?,Düldül,Saz mı Caz mı?,Zilevo,Son Perde,Esmerin Adı Oya - Sarışınlar Çat,AFFETMEM,Bensiz Olsun,Mesajın Var,Sahici,Hurts,Anıları Yak,Çapkınca,Hideaway,TAKLA
Yana Yana,Aşkın Olayım,Cano,Yalanı Bırak,Antidepresan,Papatya,Yanılmışım,Bi' Tek Ben Anlarım,Kendileri,Aç Bu Şarkıyı,Yaz Gülü,Girdap,Unutmak Öyle Kolay Mı Sandın,Ara,Bir Gülüşü Vardı,Karalaya Karalaya,Bulsun Beni,Savaştım Harbiden,Zaman,Mesele,Kimseler Bulamasın Bizi,Anıları Yak,Ellerin Hani?,Dönenin Haline,CAN,Sonunda,Imdat,Affettim,Esmerin Adı Oya - Sarışınlar Çat,Sargı,Viran,Beni Affet,Kim Bulmuş Aşkı,Yap Bi Güzellik,Beyoğlu,Mahşer,Bu Saatten Sonra,Rastgele,Canıma Minnet,Tanırım İntiharı,Duysun,Ara Sıra,Yediverenim,Bal Badem,Geçemem Senden,Bu İş Bitmiş,Hanfendi,Al Sevgilim,Yıllar Affetmez - Saygı Albümü: Bergen,Sen Hala Ordasın,Kaybet,seninle ben,ISABELLE,Nerdesin,Varsa Yoksa Sen,Dön,Senden,Başa Sar,Vazgeçtim,Güzel Kız Dinle,Oyuncak Bebek,Canım Canım,Affettim,Bir Kereden Hiçbir Şey Olmaz,Olsun,Suçlarımdan Biri,Sen Kendini Kurtar,Yalancı,Saydırır,O Yaz Bu Yaz,Kara Kız,İyi Ya,Sis,Çukur,Aşk Beni Yendi,Kaptan,Son Perde,Heyecan,Hadi Çal,Hesap,Hayatım Kaymış,Yalnız Uyunmaz,Bozulmuş Kalbim,Ölsem Unutmam - Gökhan Koşar Remix,Yazın En Güzeli,Sana Değmez,Yalan,Bensiz Olsun,İnsan Sevince,Sana Doyamıyorum,Kehanet,Hezarfen,Arıyorum,Salıncak,Ah Anlatsam,Kafayı Yaktım,Kanunlar Gibi,Yerle Yeksan,Asrın Hatası,Affet Beni Sevgilim
Yoruldum,Birkaç Beden Önce,Aldanırım,Anason,Gitti Gideli,İstanbul'da,Duman,Keşke,Yankı,Afili Yalnızlık,Aslan Gibi,Kafa,Kadınım,Bana Ellerini Ver,Anı,Hayat İki Bilet,Rüya,Yandım,Yankı,Yol,Durum Leyla,Herkes Aynı Hayatta,Olur O Zaman,Cennet,Bağdat (feat. Beyazit Ozturk) - Beyazıt Öztürk Düet Versiyon,Gittiğinde,Ayrılamam,Olmaz,O'nun Vedası,Sultan-ı Yegah,Sarı Laleler,Hep Yaşın 19,Sigara,Aldım Başımı Gidiyorum,O,Küsmedim,Kavak Yelleri,Kar Taneleri,Sen,Anlayamazsın,14 Bahar,Yıllarım Gitti - Kendimle Yüzleştim,Bir Sebebi Var,Bir Rüya Gördüm,Yani,Sen Benim Şarkılarımsın,Asla,Her Nerdeysen,Olur Olur,Selam,Dargın,Uslanmıyor Bu,Bırakman Doğru Mu,Her Mevsim Yazım,Mod,İki Hece,Güm,Benimki,Yalnız Kuş,Baksana Talihe,Cumhuriyet,Mavilim,Gözlerinin Hapsindeyim,Gel Benimle,Masal,Düştüysek Kalkarız,Ya Sonra,Beni Benimle Bırak,Ya Bu İşler Ne,Felaket,Kendime Yalan Söyledim,Anason,Pembe Mezarlık,Sen İstanbul'sun,Mecburiyet,Tutamıyorum Zamanı,Sevda Sinemalarda,Adı Aşk Olsun,Cesaretsizce Olmuyor,Sen Varsın Diye,Döndüm,Çok Sevmekten,Marlon Brando,Baş Harfi Ben,Sonsuz Ol - Remastered,Kiyamadim Ikimize,Belki Üstümüzden Bir Kuş Geçer,Boş Bardak,Bu Aşkın Katili Sensin,A Canım,Sensiz Ben Ne Olayım,Hayatım Kaymış,Kor,Arıyorum,Dünyadan Uzak,Sürgün (Kendimi Bildim Bileli),Adım Adım,Yalan,Adımı Kalbine Yaz,İçimdeki Duman
Yoksun,Kehribar,Zilevo,Yüreğim Ağlar,Bir İmkansız Var,Yakışıklı,Ateşe Düştüm,Sevdam,Yansıma,Canın Sağ Olsun,Dayanamıyorum,Aşktan Giderken,Sessizim,Diva Yorgun,Düldül,Rastgele,Karalaya Karalaya,İmdat,Mesafe,Bir Gün Ol Yerimde,Kara Kedi,Cano,Yaşanmayan Günler Var,Derinlerde,Dizine Dursun,Manolya,Mavişim,Papatya,Gülüşüne Yanıyorum,Sen de Yan,Antidepresan,Yana Yana,Olmuşum Leyla,Gülü Sevdim Dikeni Battı,Başıma Belasın,Tövbe,Anıları Yak,Masa,Bi' Tek Ben Anlarım,Geri Dönemedim,Saygı Duruşu,Gönül Meyhanesi,Nefes,Yaz Gülü,Ali Cabbar,Sen Herkesten Tatlısın,İçime Ata Ata,Mahşer,Unutmak Öyle Kolay Mı Sandın,sga,Müphem,Cehennemin Dibi,Ara,Sana Yanarım,Bu Sana Son Bakışım,Numaracı,Benden Uzak Dur,Giderim Senden,Seni Kırmışlar,Gitme
Ayrılık Var Gibi,Kan Durmaz,Yok,Affet,Özledim,Kurşun,Gitme Yarim,Yakacağım,Gözüme Baka Baka,Var Mı Be,Sevdik Ne Oldu,Yandım,Yana Yana,Yaranamadım,Ağlıyorsam Kime Ne,İstemiyorum,Sanma Yaşarım,Senden Adam Olmaz,Affet Beni,Gözüme Baka Baka,Der Gibi,Naz Değil,İlk Aşkım,Unutamam Senli Günleri,Yeşil Gözlerin,Sakin,Hüzün Maskesi,Ağlamam Artık,Nasıl Mutluluklar Dilerim,Sonbahar,Hiç Bitmeyecek Sevdam,Yanarım,Acıyı Ver,Ayrılamıyorum Senden,Yaramsın,Nasıl Edelim,İyi Değilim,Herşey Bitti,Ama Yine Gel,Bu Aşkta Zararım Var,Yarınlar,Kaktüs,Canın Sağolsun,Kaybım Var,Zararım,Bakma Bana Öyle,Olmadı,Mecazen,Elinden Geleni Ardına Koyma,Gamzende Uyut Beni,Gözleri Var Ya,Deli Gibi Yüreğime Zorsun (feat. Bilal Hancı),Ama Geçecek,Sen De Anlarsın,Öldü Say,Aşka Korkuyorsan,Ah bu şarkılar,Döndüm Deliye,Hep Beni Sev,Keskin Bıçak,Onursuz Olabilir Aşk,Alçak,Günahsa Günah,Beş Para,İstemem Seni,Vay Canım Vay,Gönlüm Deli Sevdana,Sen Acıktırdın Sevmeye,Kavgalarımızı Bile Özledim,Hangisi,Dün Gibi,Slow Mashup,Sende Anlarsın,Gelseydim Dünyaya,Yangın,Adı Bende Saklı,Gittin Benden,Aslı Bende,İstanbul Dinlesin,Kıyma İkimize,Hadi Git Dönme Geri,Uçurum,Küle Döndüm,Kalbim Kıskanır,Vicdanına Sor,Gör Bak,İlle De Sen,Uçurumun Kenarı,Güç Bela,Anmasınlar Adını,Sen Değil Mi,Ah Gönlüm,Bir Yalanmış Say,Nefes Alamıyorum Sensiz,Yanmasın,Sen Varsın,Yazıklar Olsun,Elin Olup,Kale,Bahtı Karalı
